,0
CD28,-0.00683106174316761
LINGO1,-0.20840732737604062
TGOLN2,-0.7723513557717379
ENPP2,0.1578502791954335
KRTAP16-1,0.0
CSPG5,-0.7699945898690074
APH1A,-0.03527494301957734
RAG1,0.1827753352537209
TMC4,-0.062210936347314616
SEC14L6,-0.007196427510875991
ZNF101,1.2271334645158831
VPS36,-0.33097909551702864
C16orf87,1.1274538636721128
IRF6,-0.08348259911349068
KRT1,0.0
MRTO4,-0.8732624819706274
MBD3L4,0.0
KLHDC8B,-1.0007566053412595
NSUN6,0.3828815985614944
OTUD4,0.9474817791251118
SLC4A1,0.016000734591983312
PALM2,0.0028427086528975687
PHOX2A,-0.243621701257957
ATM,-0.008588192828285601
PDGFRB,-0.06797484012418503
TMEM129,-0.8442829515388492
GLCCI1,0.6781734226930534
KRT40,0.0
MZT2A,-1.361934674260279
EYA1,0.0
OR1J1,0.042396018491027615
OR5AP2,0.0
RBPJL,-0.010582178643416155
FYCO1,-0.12776344613687485
SLC5A3,-0.9863027329706648
CHRAC1,-0.5326752701712998
RABGAP1L,0.29455782502201555
ZIK1,0.009130159035030599
INSL5,0.13028295814002613
NTPCR,-0.5406124263737215
DOCK8,-0.6694797072299277
HIPK4,-0.08397933950178177
GKN2,-0.027956708160718102
TTC7A,-0.1646841369429417
SH3BP4,0.4330985154136955
CNRIP1,-0.14133446207280365
GPRC5D,-0.5451996851038838
RMND5A,0.8346567084358614
ZSWIM5,-0.0679045183747764
KRTAP13-3,0.0
CNKSR1,0.47350498626977244
CRCP,0.44254201913011837
CHPF2,-0.8091444367159477
PLAUR,1.4981364178571583
LRP1,-0.7271175127608633
KIF24,-0.02392596506637812
PLAT,-0.2042315809667552
IDUA,0.129410736003587
BSCL2,0.018565868872301078
MAGEB4,0.0
ZNF141,0.2111094908921034
GPD1,-0.12168862001020737
GAS2L2,-0.05250440076298124
FNDC3B,-0.17213447936498927
ZHX2,1.1767250969964416
DEFA4,0.0
ADAMTSL1,0.0250543189488536
RNF113B,0.0
STRIP1,0.19545438422104722
FAM86B2,-0.10695081037609758
WDR26,1.6625104115927618
TM9SF1,-0.9168399864297294
H3F3A,0.0
S1PR1,-0.04310409770936899
YKT6,-0.1930990253014757
KCNK3,-0.037637232482909955
SYT10,0.0
DLGAP2,-0.0010619371509238626
GJA4,0.0
TXNRD3,-0.6859737902518079
EML6,-0.13034165951112273
CD5,-0.016289319964746835
CHP1,-0.4528631277173707
SH3BGRL3,-0.4013024975667667
TSC22D4,-0.0534545212601123
FAM71F2,0.23773544102168687
ANAPC13,-0.20871802036721476
PRAMEF6,0.0
FAM213B,-1.3674897165402415
MAPKAPK5,0.037223946099121275
SNRPA,1.3092039871591092
CYTIP,-0.08396310125458985
KRTAP19-2,0.0
GPC2,0.43361196841101324
FASTKD2,0.12868704495776928
DBT,-0.503105458253954
KIF14,-0.009151890500516124
FLT3LG,1.1625814651016109
XRN1,1.7247304282297766
C8orf58,0.24851938925392147
ZNF782,-0.17450839092626613
OR4K2,0.0
JAGN1,-0.9083409896718937
SCP2D1,0.0
AKAP2,-0.032577454906337455
OR2G6,0.0
OR1B1,0.0856481160794865
C16orf58,-1.0934143980934383
CDK5RAP2,-0.2971524065021298
OPTN,1.0369036823090596
TMEM41A,0.13014717732021475
MMD,0.135265192675166
ANGEL2,-0.36807695014817776
GSG1L,0.4270431647605566
PNMA2,0.08027363388911368
ZKSCAN4,0.23390285645388253
AP2S1,-1.1108758195587098
SPERT,-0.018059263916546497
FBP1,0.04340871163822607
GPR157,-0.010446480814828407
ASGR2,-0.011737661759841417
PTCRA,0.0
ZNF622,0.23299088763938336
SRR,-0.24659349817784637
SLC25A28,1.9636346323131355
RPUSD1,-0.8374986078415108
TDRD10,0.05162294386714697
ZNF33A,0.7273057162360232
OR4X1,0.0
ORAI3,-0.819770916820052
OLFM4,0.0
USP19,-0.03273237790357708
ZDHHC20,-0.03276987520420693
FAM124B,0.05357798345451739
UBE3D,0.023193928585447665
DYNLL1,0.15263481877873364
MESP2,0.021603990058521517
SLC16A13,-0.688647398967579
PNMA5,0.0
SRP54,0.06854097803885839
PRR20E,0.0
TMEM184A,-0.26785055292156423
TP53INP1,0.4140233393272066
PGA4,0.0
TCEAL4,0.2104618980009363
LINC00696,0.0
XKR6,0.0
SDAD1,0.4153086374772452
C14orf93,-0.10907083312724097
PYCR1,-1.737088105981135
ZNF341,-0.19391843040524454
OSTC,-1.1729413439981764
ZNF479,0.0
CCDC168,0.11137977641168043
KLRF2,0.1302414276910637
HOXA9,0.0
RIMS3,-0.1714866288699224
CD302,0.0
RPL36A-HNRNPH2,0.0
CRMP1,-0.11539076940997961
C1orf210,0.0
CNTD2,0.8430636375166429
CHRDL2,0.04036347947846548
PHYHIP,-0.04165596570190849
SOX9,2.303276040970136
TNFRSF9,2.7860286264315905
INO80B,-0.20072054006325687
USP9Y,0.2938242833734924
ZNF676,0.0
PNPO,-1.6626846297265736
FANCL,0.6803345688441822
PAK1,0.3150242671263026
SCGN,-0.33733719720225097
PRDM9,0.0
PSIP1,-0.5805928353464926
KDM4B,-0.1238120497705335
SLN,-0.23948982785560757
INTS2,0.03302592632262691
CYP21A2,-0.012648208103285674
TMEM189,-0.6631265207664865
H1FOO,0.0
CAT,-1.9148067702980582
SLC46A1,-0.6555064310215563
DTD1,-0.9165606632875574
MADD,0.06874497676744262
UBE2D3,1.0862446483813288
FAM129B,-0.6980953953394522
UGT1A4,0.0
IQCE,-0.8169512297204691
GRM4,-0.001036685482794517
PSMD7,-0.22113591629734763
QSOX2,-0.43116416849236794
MBOAT4,-0.05288175564234693
CKM,0.008342381448095015
SLC5A6,-1.2218902467574329
CTAG1A,0.0
ZNF860,-0.018988406484120146
WDR6,-0.5861342953268016
RBM28,-0.3338121640820839
CLRN1,0.0
TNFAIP8,2.2581355985326006
RBMX,0.4158919377064416
DDR1,-0.3812683022533876
DIAPH3,-0.7597454766994736
AIG1,-0.8506298458599661
PTGIR,0.0
NUP205,-0.055836990753348914
OR5B21,-0.031008442134457262
OR4F5,0.0
IL1RN,0.2260578954521234
FCGBP,-0.8608362951621904
TM2D3,0.4221343410264011
FAM122C,0.1693584753809168
USP7,1.0800854088050178
PEX11G,-0.5687857822992357
FAM228A,-0.007021815747120949
PSME1,0.14211391850397792
CMTM1,-0.503348833134835
TMEM211,0.0
LGR4,-0.985055194555982
SSX2,0.0
PLAC8L1,-0.4489190949738797
CD247,0.0033286230760237734
AGTR2,0.0
CST8,0.0
MAP4,-0.698422668017531
HAAO,-0.07246286295649956
RPUSD2,-0.375300489160475
SEMA6B,-0.30754378416587924
ARHGEF15,0.0
NME3,-1.0704149050095886
NAIF1,0.9888815690924337
C3orf36,0.043690031968554054
SPATA2L,0.24895938424707498
CYBRD1,-1.1159018460019539
C5orf34,-0.020031035933027352
GNA14,0.035039974438179515
CEACAM6,-1.2644882833885074
LRRC4B,0.12125979989484642
CDR2,0.2916543973281924
RAET1G,-0.07518567121137756
NEK11,-0.16913796135572312
CALHM3,0.0
LHX8,-0.25788278953269694
ANKS6,-0.22425687324439347
RUFY1,-0.7068543483840317
HAUS2,0.088133418058717
OR1E1,0.0598118342003591
TPH1,0.021712858031050608
CNDP2,-0.9839208294729209
RIOK2,0.34552697104609686
ARHGAP36,0.0
PELI2,-0.16572396619371377
HTR6,-0.07438760390495813
BCL6B,0.16739211127845305
MAOA,-0.8866739354293238
PTGFR,0.0
MGAT2,0.04088477895936915
FTMT,0.0
BIN1,-0.8988269888872944
KRT35,0.0
NFE2L2,2.173045272938146
TXLNA,0.31971286631419993
TNFRSF13C,-0.15922946500769924
FBXL6,0.28516469995925764
NFYA,0.2346058529845525
LACRT,0.0
GYG1,-0.30262456444358365
SULT1C3,0.0
DHRS7B,-0.5918556222379718
NAGK,-0.5139878181458504
OGN,-0.002976408290436568
IPO11,-0.34769500825373023
CADM4,-0.8292768052325186
GAMT,-1.558963827300937
KIF4A,-0.5013179117786093
KCTD11,1.5751180147626407
ETV3,1.5328115302723138
FOXB1,0.0
ZNF264,0.8474330041046931
SLCO1B3,-0.26688160428795893
SOWAHA,0.09604066016253472
BRCA2,0.2680739453665356
AP3S2,-0.0928645130261157
VRK1,-0.6047100247404413
CCDC43,0.6751347573058348
PSMB7,-0.49862619648099393
CCDC172,0.0
NMNAT3,-0.15911491315138301
CCL22,-0.10258985420522385
STMN4,1.1156911702999242
PLEKHO1,0.5121876595532889
PRRG4,0.059795084945432175
SON,1.5583874733329184
SMARCAL1,-0.28785857800327896
GAGE12J,0.0
MAGEE2,-0.03445708467556116
KCNN2,0.013499476983208351
ALOX15,0.09817646869687238
VPS37D,-0.1444953932023063
MCM7,-0.4904848310985761
SHB,1.2539158816868508
USP17L21,0.0
RAB1B,-0.8202447213189847
FHL3,0.5422614492847342
ONECUT3,0.0
PRKAR2A,-0.6931739637111899
NET1,0.6994108648252118
SPESP1,0.0
