,RHA015__A549__turquoise,RHA016__A549__turquoise,RHA017__A549__turquoise,RHA018__A549__turquoise,RHA028__A549__turquoise,RHA029__A549__turquoise,RHA030__A549__turquoise,RHA031__A549__turquoise,RHA032__A549__turquoise,RHA033__A549__turquoise,RHA034__A549__turquoise,RHA035__A549__turquoise,RHA036__A549__turquoise,RHA037__A549__turquoise,RHA038__A549__turquoise,RHA039__A549__turquoise,RHA040__A549__turquoise,RHA041__A549__turquoise,RHA042__A549__turquoise,RHA043__A549__turquoise,RHA044__A549__turquoise,RHA045__A549__turquoise,RHA046__A549__turquoise,RHA047__A549__turquoise,RHA048__A549__turquoise,RHA049__A549__turquoise,RHA050__A549__turquoise,RHA051__A549__turquoise,RHA052__A549__turquoise,RHA053__A549__turquoise,RHA054__A549__turquoise,RHA055__A549__turquoise,RHA056__A549__turquoise,RHA057__A549__turquoise,RHA058__A549__turquoise,RHA059__A549__turquoise,RHA060__A549__turquoise,RHA061__A549__turquoise,RHA062__A549__turquoise,RHA063__A549__turquoise,RHA064__A549__turquoise,RHA065__A549__turquoise,RHA066__A549__turquoise,RHA067__A549__turquoise,RHA068__A549__turquoise,RHA069__A549__turquoise,RHA070__A549__turquoise,RHA071__A549__turquoise,RHA072__A549__turquoise,RHA073__A549__turquoise,RHA074__A549__turquoise,RHA075__A549__turquoise,RHA076__A549__turquoise,RHA077__A549__turquoise,RHA078__A549__turquoise,RHA079__A549__turquoise,RHA080__A549__turquoise,RHA081__A549__turquoise,RHA082__A549__turquoise,RHA084__A549__turquoise,RHA085__A549__turquoise,RHA086__A549__turquoise,RHA087__A549__turquoise,RHA088__A549__turquoise,RHA089__A549__turquoise,RHA091__A549__turquoise,RHA092__A549__turquoise,RHA093__A549__turquoise,RHA094__A549__turquoise,RHA095__A549__turquoise,RHA096__A549__turquoise,RHA097__A549__turquoise,RHA098__A549__turquoise,RHA099__A549__turquoise
MBD3,2.925388041922333,0.0,0.0,2.811156562725111,0.0,3.727582878873427,0.0,0.0,1.3199646942164658,0.0,0.0,7.539298420001989,0.0,0.8284284853209785,0.0,0.0,0.0,0.0,0.0,0.0,1.389104194150463,1.5261138951831892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.051113755255578,0.0,0.0,0.5619077412203975,0.0,0.0,6.031293731155662,2.10230203229887,0.0,0.557398326023071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5022542127342406,0.0,0.0,0.0,0.0,0.5890146250030258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMM13,7.902121829174157,3.6584171592642014,0.0,0.0,3.8714099864680476,6.799100261251476,6.2846954951431835,0.0,0.0,0.0,8.549022215359331,0.0,3.5502727340973874,7.920418363300155,3.6523717631163715,3.9037131700674945,0.0,0.0,0.0,4.234746551744323,4.398918087197679,5.612544176897094,6.917527231717256,7.365780008779407,0.0,0.0,0.0,0.0,4.017155829492278,6.929021639253782,6.175536576925954,0.0,5.381792102785771,0.0,0.0,5.949180051757633,8.078369664386745,7.52325613502269,6.6984129733047055,5.182501620373253,0.0,2.5877826159040076,8.535240378203387,7.060598668069133,7.024685360295355,9.420636085341966,0.0,0.0,0.0,0.0,5.815403791224585,7.214931043449757,0.0,8.346283238126752,8.60375243621465,6.42870688038575,7.316607374296977,7.029353492778384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7951643139260405,8.118390875469398,7.4223928052986095,7.3747265237926385,0.0,0.0,4.692421618348716,0.0
PLSCR1,0.0,6.3814702738617015,0.0,4.1064990809653565,0.0,7.4955832470988515,5.432976105038746,3.3660983605582517,6.0829324622227325,0.0,0.0,0.0,7.14942196849116,0.0,0.9756125789112483,0.0,0.0,0.0,6.877020267239065,8.660199175060168,0.0,4.992745775204089,0.0,0.0,0.0,6.526320822968873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.186411416494264,7.484637637506033,0.0,6.54056979024389,5.265864420141734,0.0,6.900951314838616,5.067423604369427,0.0,0.0,0.0,0.0,4.264101004670357,0.0,6.096183828678176,8.821324364953083,0.0,0.0,9.247049290330281,4.660865883682664,0.0,0.0,0.8386775179301608,7.237076083918403,0.0,0.0,0.0,4.018073293978354,0.0,0.0,0.0,8.478086022473889,6.313220452003392,0.0,0.0,0.0,6.596176335663005,9.055233621685282,0.0
FADS1,2.4786017030521887,5.6610711821476185,4.216059020380968,6.430385642517904,4.028074024827597,6.481981825214957,4.836631104428236,7.579368741138053,6.0884872152910665,6.129633343202715,3.7975110886849954,9.67362178756197,6.204884101768995,3.432062787628433,3.617686378345738,0.0,6.95123808164632,6.896332403909942,0.9544896595782445,1.1032626266060845,1.122202234089265,4.636421613994386,0.42543781994356344,6.68487482880499,0.9269672181740428,1.5502456407471008,1.587230557181896,6.005945611350694,2.698389635279471,4.284329046577296,6.151241871020911,5.477729128970705,5.91723600916388,7.9166139805577505,3.501286268710612,6.032883266565428,4.560042355108642,5.801412192125093,8.266205598467934,6.7377002798532795,4.551577538492862,7.678494507773734,1.8866554924060541,7.470854066949738,8.414951554924524,6.678128259287012,7.169423978676072,0.7692292516251724,3.595253005077388,1.2794296931279043,3.243079514803807,7.177210219897686,0.0,6.5824777244483395,6.243345382602815,7.505716297182112,3.103668839427778,3.2236835707125815,4.925562747399486,6.586590624832648,5.276734861874998,0.6100706944255847,1.286632793659868,1.3416954716887348,6.881689088160346,8.912949197852795,6.795637091074243,6.8256075687817095,6.016148619160708,4.304715457798761,1.247903215217227,4.122954273618138,5.592104169216498,3.3327465959176923
APEH,8.268088126176036,0.0,1.4753806570065455,0.0,0.0,6.728287886695093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0581086494011742,0.0,0.0,8.121533517340032,0.0,0.0,0.0,3.018356432170952,0.0,0.0,0.0,7.3888008650410875,0.0,0.0,7.152862818729096,9.288386249268841,5.720459064461416,0.0,0.0,0.0,0.0,4.599186850087248,7.424569431100479,8.756079236964908,7.30863937071292,6.466508032428721,4.333552540032218,4.205838203123119,0.0,3.1670222661829284,0.0,4.17291949127236,0.0,0.0,0.0,0.0,0.3528624586059268,0.0,0.0,0.0,0.0,2.0518210250171025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072658070270435,0.0,0.0,0.0,1.6725927980299606,9.152518088729632,0.0,7.460160978892085,0.0
ADK,7.766959499570839,0.7949215268174548,0.0,1.6049869545697029,1.8090892352359889,1.941440646835147,4.494530816581587,0.0,5.271152978568706,0.0,3.9390290635834595,0.0,5.33295492479909,2.8982412506120876,1.4946255347748916,6.013973588940674,0.7897893363388355,0.0,1.3770515431434454,7.425215903299384,7.32043954796245,0.0,0.0,0.0,3.489324562495094,0.0,9.57647489886126,0.0,3.0167387692776404,3.0183493098788916,0.0,5.64867826511424,0.0,0.0,0.0,3.852268567893969,0.0,4.771235902643864,0.0,5.113846327995798,4.011522474433498,5.742089772621357,0.0,1.549472034110068,5.608874280740045,2.836740158236303,0.0,6.2326185496690245,0.0,0.0,2.907381028553544,9.323547962857425,0.0,0.0,3.34165704849036,3.6803918760927616,3.6462317942412463,0.0,0.0,3.2322509117979195,4.727163521649534,0.0,0.0,0.0,0.0,5.58657561363127,0.7289731833223196,0.0,2.352967514274409,5.241104160374478,0.597417708739767,3.759858896381645,5.271590016830226,5.6706109318508195
NFKBIA,7.049336710236565,4.626187957396628,0.0,0.0,0.0,0.0,0.0,4.602136150613532,5.8217076642986125,6.6350389598381145,0.0,0.0,0.0,7.108148052451759,0.6948026528198391,0.0,0.0,0.0,4.652692989171302,0.0,0.0,2.361361316047634,6.963485683984989,0.0,0.0,0.0,0.0,0.0,4.210833013968516,0.0,0.0,1.6093200081991474,3.3871515808970765,0.0,0.0,3.420587497946797,2.7408326004518533,4.5321361435243395,0.0,0.0,0.0,7.69416981091396,0.0,0.0,4.939701441547708,0.6207862626534655,1.4707502926848917,5.396464357738764,9.540835163699807,0.0,0.0,2.1072894832008453,0.0,0.0,0.0,6.467753887370557,0.0,0.0,0.0,6.25720678724851,0.0,0.0,0.0,0.7586434475664452,0.0,1.1921499682593775,5.830706602914104,0.0,0.0,0.0,8.215955190171794,0.0,0.0,9.137539385751959
STK3,0.0,5.6201171650286845,5.648902557116672,8.152335551258657,4.8763253930604185,0.2751751534085713,2.7847615092759095,0.0,2.521214099041187,1.7269183863048005,1.3217953608377406,0.0,4.070552480604823,2.3799896283223796,2.065841111713809,7.1552432617815676,2.293167397781931,1.3478583806826943,0.0,0.16762768520506396,0.0,2.1053428402862226,2.7630885786013515,6.929424124087939,0.411444686071542,1.7308486018063038,6.727321475692953,2.6338357127682817,0.0,5.494917969954912,3.496577392446716,2.5150084403906554,0.36777026787743305,2.6327753965308363,1.978133380075508,1.5998224106328658,4.456622187314871,5.7778720485120525,6.422468496043936,5.433129715387944,0.0,6.4801261460804715,4.782969387483014,2.0823108696546053,6.529585162163567,7.516290985614948,0.23461290591848125,7.058511324202152,0.0,5.509888990543117,6.996049727519757,6.921472035924147,2.0847582247179632,0.21543134501234304,0.6698640115291747,6.298654650176117,2.0266973853683137,0.0,2.292534408876772,2.178670029264107,4.274373493747387,0.0,1.667578807314638,0.1889705469040581,3.4086398603277326,3.2166830086659015,0.15955814716336936,2.955766596933712,7.454175893185802,4.67080068840962,9.801949192103597,2.9827636375413267,6.708559727773594,0.0
TRUB2,0.0,0.0,0.0,0.0,0.0,0.0,4.917484268151956,0.0,0.0,0.0,0.0,0.0,0.0,0.6585277553987515,4.860947904164162,0.0,0.837418530104596,0.0,5.645793870079993,0.0,4.163691937431157,7.327786150917388,0.0,0.0,0.0,0.0,0.0,0.0,7.71411498220954,0.6207524867606684,3.005274218060317,0.7861095269976364,5.50726185443248,3.5469438347018785,9.82800633421657,0.0,2.9025000521951636,1.378722463275618,2.8325579029775585,0.0,0.0,3.7671144808655526,4.813186036919914,4.061819391402381,0.0,1.4032513589757176,0.0,1.6239277140265957,0.0,1.912270460938725,0.0,6.378440527154981,0.0,2.2307532971793984,1.0526523821511584,3.421134411658259,0.0,0.0,0.0,0.0,6.4097948342060596,2.543255826715584,1.0903182471211663,3.823148112105826,0.0,0.0,7.512029308480412,3.066562833459438,0.0,5.681851207351836,0.0,0.0,0.0,3.4356952604896103
SLC39A11,3.4173813263047017,2.8701141374533274,5.733264847356303,5.602427185993508,3.6696050886293716,7.609511203169709,7.3619262332633735,2.4394555890493637,7.268443751001419,6.053606634665222,7.832769784568365,1.8122846290466834,7.290488913776272,7.257670696343374,5.812754909800194,7.9546034652381366,6.6978572034956905,7.320385390032584,2.982409535654771,2.7048188581400017,6.73479089653024,5.501506023511282,4.100826308139646,1.9150695696856994,9.509480102362552,8.117050838577386,1.836057426456257,4.446507686926302,3.5073887260339522,3.6692309060246835,0.0,2.548234386601498,6.115501493334168,4.7720545519333255,0.0,3.742825446256191,6.926675523406942,5.365787006276853,6.390131114522497,6.564413229409044,5.774942519731622,0.0,8.523213001198979,2.7292764948199637,4.124253682075544,0.0,7.195239313380732,5.862590248380162,2.5236422429382825,0.0,1.7715095416397961,0.0,0.0,6.102112188861363,6.887025602325453,6.781477747381231,6.811869155312753,7.375230619225716,7.21718223775023,4.906149822006033,3.985992174344488,2.129306099880958,7.329868078847691,7.482235200991785,0.0,6.365982922426992,7.224860280582352,6.194195423574824,6.812125951718036,5.465432536088544,4.994774302959189,5.758932060199517,7.171036650476621,2.343410665043862
FECH,0.0,3.255991619141935,0.3416579023503306,0.0,0.7779309465590869,4.696617065212426,5.258017587769619,4.298966174949171,1.314708125167773,1.122328153491504,0.0,0.0,0.24665495092381506,3.8492987520277713,2.0423116387854927,5.91672981042601,8.088449052906114,0.0,2.7081894436625404,0.0,6.014986780210434,2.264989735324707,0.0,7.822054523009667,6.3063807336202125,5.442923596469548,6.080111859861598,0.0,0.0,0.0,0.0,7.034952988525104,6.3035670673917625,1.4716036874563772,0.0,5.277263219382306,6.194297876376781,5.230675686059958,2.3035966558497964,0.0,0.0,0.0,7.833370832379787,4.499131536358249,3.713640833039549,0.5047678321157865,0.0,5.051446061874944,3.2309453859550246,0.0,3.281213066952031,2.7877667699385675,1.037719572872056,9.159281022598254,0.5342140338302748,0.5620298972983968,1.8036196936799458,7.7782874387674426,0.5757431383674754,5.587412999955979,0.0,1.8783761493704798,8.928737464692311,5.41005272675728,0.0,5.039019919559241,0.0,7.641892789103828,0.0,0.41190453373876007,3.5274081929485264,0.3908756563529247,4.477275803596028,0.0
PTPN13,0.0,2.346301679085101,0.17346903345770284,4.778361039756346,0.0,0.0,2.905004241401773,6.250173331534433,0.0,5.141363303150664,5.443636486312728,8.632751699094712,0.3369779996979434,0.0,0.11632442987380189,0.0,8.251411398452175,9.397467143723013,2.894792546233062,0.1186504950602657,0.0,3.402585758232587,0.0,0.0,3.7932716544980827,0.1566994925100261,7.80169542713825,0.421669809048287,0.0,0.0,0.0,2.860790021554639,0.1455913799746551,0.5158506905735118,0.0,3.765842347069845,4.070286274565101,1.0918081379689948,0.0,0.0,0.9896222474356582,4.189460874841852,0.40191220691572443,2.008730687985889,4.136330857569038,0.0,0.0,1.7120982895256782,0.0,0.0,0.0,1.8913764108872682,0.6013390070576151,0.0,0.0,5.376141021101637,1.8751784871420232,1.8990750637822682,0.0,0.0,0.8822658453375215,6.841709003087225,0.6531260722174281,0.0,2.0652483064272187,0.0,2.7067095660171154,0.0,1.0348636554782757,3.4165411758110236,5.387445261803931,4.970977860620277,0.0,0.0
